Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-05/10/2015
Datum: 05/10/2015
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B33F0080,001,2010/06/11 00:00:00,139,
B33F0080,001,2010/06/12 00:00:00,141,
B33F0080,001,2010/06/13 00:00:00,143,
B33F0080,001,2010/06/14 00:00:00,143,
B33F0080,001,2010/06/15 00:00:00,145,
B33F0080,001,2010/06/16 00:00:00,145,
B33F0080,001,2010/06/17 00:00:00,146,
B33F0080,001,2010/06/18 00:00:00,147,
B33F0080,001,2010/06/19 00:00:00,146,
B33F0080,001,2010/06/20 00:00:00,147,
B33F0080,001,2010/06/21 00:00:00,148,
B33F0080,001,2010/06/22 00:00:00,149,
B33F0080,001,2010/06/23 00:00:00,150,
B33F0080,001,2010/06/24 00:00:00,151,
B33F0080,001,2010/06/25 00:00:00,154,
B33F0080,001,2010/06/26 00:00:00,155,
B33F0080,001,2010/06/27 00:00:00,156,
B33F0080,001,2010/06/28 00:00:00,157,
B33F0080,001,2010/06/29 00:00:00,160,
B33F0080,001,2010/06/30 00:00:00,164,
B33F0080,001,2010/07/01 00:00:00,158,
B33F0080,001,2010/07/02 00:00:00,158,
B33F0080,001,2010/07/03 00:00:00,160,
B33F0080,001,2010/07/04 00:00:00,161,
B33F0080,001,2010/07/05 00:00:00,161,
B33F0080,001,2010/07/06 00:00:00,164,
B33F0080,001,2010/07/07 00:00:00,165,
B33F0080,001,2010/07/08 00:00:00,166,
B33F0080,001,2010/07/09 00:00:00,167,
B33F0080,001,2010/07/10 00:00:00,169,
B33F0080,001,2010/07/11 00:00:00,163,
B33F0080,001,2010/07/12 00:00:00,161,
B33F0080,001,2010/07/13 00:00:00,149,
B33F0080,001,2010/07/14 00:00:00,147,
B33F0080,001,2010/07/15 00:00:00,147,
B33F0080,001,2010/07/16 00:00:00,146,
B33F0080,001,2010/07/17 00:00:00,148,
B33F0080,001,2010/07/18 00:00:00,149,
B33F0080,001,2010/07/19 00:00:00,149,
B33F0080,001,2010/07/20 00:00:00,150,
B33F0080,001,2010/07/21 00:00:00,151,
B33F0080,001,2010/07/22 00:00:00,153,
B33F0080,001,2010/07/23 00:00:00,155,
B33F0080,001,2010/07/24 00:00:00,156,
B33F0080,001,2010/07/25 00:00:00,157,
B33F0080,001,2010/07/26 00:00:00,157,
B33F0080,001,2010/07/27 00:00:00,154,
B33F0080,001,2010/07/28 00:00:00,150,
B33F0080,001,2010/07/29 00:00:00,147,
B33F0080,001,2010/07/30 00:00:00,145,
B33F0080,001,2010/07/31 00:00:00,146,
B33F0080,001,2010/08/01 00:00:00,146,
B33F0080,001,2010/08/02 00:00:00,147,
B33F0080,001,2010/08/03 00:00:00,146,
B33F0080,001,2010/08/04 00:00:00,147,
B33F0080,001,2010/08/05 00:00:00,144,
B33F0080,001,2010/08/06 00:00:00,145,
B33F0080,001,2010/08/07 00:00:00,145,
B33F0080,001,2010/08/08 00:00:00,144,
B33F0080,001,2010/08/09 00:00:00,145,
B33F0080,001,2010/08/10 00:00:00,145,
B33F0080,001,2010/08/11 00:00:00,145,
B33F0080,001,2010/08/12 00:00:00,145,
B33F0080,001,2010/08/13 00:00:00,146,
B33F0080,001,2010/08/14 00:00:00,146,
B33F0080,001,2010/08/15 00:00:00,147,
B33F0080,001,2010/08/16 00:00:00,137,
B33F0080,001,2010/08/17 00:00:00,129,
B33F0080,001,2010/08/18 00:00:00,111,
B33F0080,001,2010/08/19 00:00:00,114,
B33F0080,001,2010/08/20 00:00:00,119,
B33F0080,001,2010/08/21 00:00:00,123,
B33F0080,001,2010/08/22 00:00:00,124,
B33F0080,001,2010/08/23 00:00:00,124,
B33F0080,001,2010/08/24 00:00:00,127,
B33F0080,001,2010/08/25 00:00:00,129,
B33F0080,001,2010/08/26 00:00:00,127,
B33F0080,001,2010/08/27 00:00:00,52,
B33F0080,001,2010/08/28 00:00:00,60,
B33F0080,001,2010/08/29 00:00:00,62,
B33F0080,001,2010/08/30 00:00:00,56,
B33F0080,001,2010/08/31 00:00:00,68,
B33F0080,001,2010/09/01 00:00:00,74,
B33F0080,001,2010/09/02 00:00:00,79,
B33F0080,001,2010/09/03 00:00:00,78,
B33F0080,001,2010/09/04 00:00:00,83,
B33F0080,001,2010/09/05 00:00:00,88,
B33F0080,001,2010/09/06 00:00:00,91,
B33F0080,001,2010/09/07 00:00:00,94,
B33F0080,001,2010/09/08 00:00:00,93,
B33F0080,001,2010/09/09 00:00:00,97,
B33F0080,001,2010/09/10 00:00:00,99,
B33F0080,001,2010/09/11 00:00:00,97,
B33F0080,001,2010/09/12 00:00:00,102,
B33F0080,001,2010/09/13 00:00:00,92,
B33F0080,001,2010/09/14 00:00:00,98,
B33F0080,001,2010/09/15 00:00:00,89,
B33F0080,001,2010/09/16 00:00:00,85,
B33F0080,001,2010/09/17 00:00:00,92,
B33F0080,001,2010/09/18 00:00:00,97,
B33F0080,001,2010/09/19 00:00:00,101,
B33F0080,001,2010/09/20 00:00:00,103,
B33F0080,001,2010/09/21 00:00:00,107,
B33F0080,001,2010/09/22 00:00:00,108,
B33F0080,001,2010/09/23 00:00:00,109,
B33F0080,001,2010/09/24 00:00:00,103,
B33F0080,001,2010/09/25 00:00:00,107,
B33F0080,001,2010/09/26 00:00:00,110,
B33F0080,001,2010/09/27 00:00:00,112,
B33F0080,001,2010/09/28 00:00:00,106,
B33F0080,001,2010/09/29 00:00:00,109,
B33F0080,001,2010/09/30 00:00:00,111,
B33F0080,001,2010/10/01 00:00:00,110,
B33F0080,001,2010/10/02 00:00:00,110,
B33F0080,001,2010/10/03 00:00:00,109,
B33F0080,001,2010/10/04 00:00:00,112,
B33F0080,001,2010/10/05 00:00:00,115,
B33F0080,001,2010/10/06 00:00:00,116,
B33F0080,001,2010/10/07 00:00:00,119,
B33F0080,001,2010/10/08 00:00:00,118,
B33F0080,001,2010/10/09 00:00:00,118,
B33F0080,001,2010/10/10 00:00:00,120,
B33F0080,001,2010/10/11 00:00:00,122,
B33F0080,001,2010/10/12 00:00:00,123,
B33F0080,001,2010/10/13 00:00:00,123,
B33F0080,001,2010/10/14 00:00:00,124,
B33F0080,001,2010/10/15 00:00:00,124,
B33F0080,001,2010/10/16 00:00:00,121,
B33F0080,001,2010/10/17 00:00:00,125,
B33F0080,001,2010/10/18 00:00:00,125,
B33F0080,001,2010/10/19 00:00:00,121,
B33F0080,001,2010/10/20 00:00:00,119,
B33F0080,001,2010/10/21 00:00:00,120,
B33F0080,001,2010/10/22 00:00:00,122,
B33F0080,001,2010/10/23 00:00:00,122,
B33F0080,001,2010/10/24 00:00:00,121,
B33F0080,001,2010/10/25 00:00:00,124,
B33F0080,001,2010/10/26 00:00:00,125,
B33F0080,001,2010/10/27 00:00:00,123,
B33F0080,001,2010/10/28 00:00:00,119,
B33F0080,001,2010/10/29 00:00:00,120,
B33F0080,001,2010/10/30 00:00:00,121,
B33F0080,001,2010/10/31 00:00:00,122,
B33F0080,001,2010/11/01 00:00:00,123,
B33F0080,001,2010/11/02 00:00:00,124,
B33F0080,001,2010/11/03 00:00:00,124,
B33F0080,001,2010/11/04 00:00:00,124,
B33F0080,001,2010/11/05 00:00:00,123,
B33F0080,001,2010/11/06 00:00:00,89,
B33F0080,001,2010/11/07 00:00:00,95,
B33F0080,001,2010/11/08 00:00:00,98,
B33F0080,001,2010/11/09 00:00:00,100,
B33F0080,001,2010/11/10 00:00:00,102,
B33F0080,001,2010/11/11 00:00:00,97,
B33F0080,001,2010/11/12 00:00:00,86,
B33F0080,001,2010/11/13 00:00:00,92,
B33F0080,001,2010/11/14 00:00:00,94,
B33F0080,001,2010/11/15 00:00:00,90,
B33F0080,001,2010/11/16 00:00:00,95,
B33F0080,001,2010/11/17 00:00:00,97,
B33F0080,001,2010/11/18 00:00:00,99,
B33F0080,001,2010/11/19 00:00:00,102,
B33F0080,001,2010/11/20 00:00:00,104,
B33F0080,001,2010/11/21 00:00:00,105,
B33F0080,001,2010/11/22 00:00:00,107,
B33F0080,001,2010/11/23 00:00:00,108,
B33F0080,001,2010/11/24 00:00:00,110,
B33F0080,001,2011/04/07 00:00:00,134,
B33F0080,001,2011/04/08 00:00:00,135,
B33F0080,001,2011/04/09 00:00:00,135,
B33F0080,001,2011/04/10 00:00:00,136,
B33F0080,001,2011/04/11 00:00:00,135,
B33F0080,001,2011/04/12 00:00:00,136,
B33F0080,001,2011/04/13 00:00:00,135,
B33F0080,001,2011/04/14 00:00:00,135,
B33F0080,001,2011/04/15 00:00:00,136,
B33F0080,001,2011/04/16 00:00:00,137,
B33F0080,001,2011/04/17 00:00:00,137,
B33F0080,001,2011/04/18 00:00:00,137,
B33F0080,001,2011/04/19 00:00:00,137,
B33F0080,001,2011/04/20 00:00:00,138,
B33F0080,001,2011/04/21 00:00:00,138,
B33F0080,001,2011/04/22 00:00:00,138,
B33F0080,001,2011/04/23 00:00:00,139,
B33F0080,001,2011/04/24 00:00:00,141,
B33F0080,001,2011/04/25 00:00:00,143,
B33F0080,001,2011/04/26 00:00:00,143,
B33F0080,001,2011/04/27 00:00:00,144,
B33F0080,001,2011/04/28 00:00:00,142,
B33F0080,001,2011/04/29 00:00:00,141,
B33F0080,001,2011/04/30 00:00:00,142,
B33F0080,001,2011/05/01 00:00:00,143,
B33F0080,001,2011/05/02 00:00:00,143,
B33F0080,001,2011/05/03 00:00:00,145,
B33F0080,001,2011/05/04 00:00:00,145,
B33F0080,001,2011/05/05 00:00:00,146,
B33F0080,001,2011/05/06 00:00:00,146,
B33F0080,001,2011/05/07 00:00:00,147,
B33F0080,001,2011/05/08 00:00:00,148,
B33F0080,001,2011/05/09 00:00:00,149,
B33F0080,001,2011/05/10 00:00:00,149,
B33F0080,001,2011/05/11 00:00:00,149,
B33F0080,001,2011/05/12 00:00:00,149,
B33F0080,001,2011/05/13 00:00:00,150,
B33F0080,001,2011/05/14 00:00:00,150,
B33F0080,001,2011/05/15 00:00:00,151,
B33F0080,001,2011/05/16 00:00:00,151,
B33F0080,001,2011/05/17 00:00:00,152,
B33F0080,001,2011/05/18 00:00:00,152,
B33F0080,001,2011/05/19 00:00:00,153,
B33F0080,001,2011/05/20 00:00:00,153,
B33F0080,001,2011/05/21 00:00:00,155,
B33F0080,001,2011/05/22 00:00:00,154,
B33F0080,001,2011/05/23 00:00:00,155,
B33F0080,001,2011/05/24 00:00:00,159,
B33F0080,001,2011/05/25 00:00:00,160,
B33F0080,001,2011/05/26 00:00:00,157,
B33F0080,001,2011/05/27 00:00:00,159,
B33F0080,001,2011/05/28 00:00:00,158,
B33F0080,001,2011/05/29 00:00:00,158,
B33F0080,001,2011/05/30 00:00:00,159,
B33F0080,001,2011/05/31 00:00:00,161,
B33F0080,001,2011/06/01 00:00:00,163,
B33F0080,001,2011/06/02 00:00:00,164,
B33F0080,001,2011/06/03 00:00:00,163,
B33F0080,001,2011/06/04 00:00:00,164,
B33F0080,001,2011/06/05 00:00:00,165,
B33F0080,001,2011/06/06 00:00:00,162,
B33F0080,001,2011/06/07 00:00:00,155,
B33F0080,001,2011/06/08 00:00:00,153,
B33F0080,001,2011/06/09 00:00:00,153,
B33F0080,001,2011/06/10 00:00:00,154,
B33F0080,001,2011/06/11 00:00:00,153,
B33F0080,001,2011/06/12 00:00:00,154,
B33F0080,001,2011/06/13 00:00:00,154,
B33F0080,001,2011/06/14 00:00:00,155,
B33F0080,001,2011/06/15 00:00:00,156,
B33F0080,001,2011/06/16 00:00:00,155,
B33F0080,001,2011/06/17 00:00:00,154,
B33F0080,001,2011/06/18 00:00:00,153,
B33F0080,001,2011/06/19 00:00:00,151,
B33F0080,001,2011/06/20 00:00:00,149,
B33F0080,001,2011/06/21 00:00:00,148,
B33F0080,001,2011/06/22 00:00:00,149,
B33F0080,001,2011/06/23 00:00:00,149,
B33F0080,001,2011/06/24 00:00:00,150,
B33F0080,001,2011/06/25 00:00:00,151,
B33F0080,001,2011/06/26 00:00:00,150,
B33F0080,001,2011/06/27 00:00:00,150,
B33F0080,001,2011/06/28 00:00:00,152,
B33F0080,001,2011/06/29 00:00:00,151,
B33F0080,001,2011/06/30 00:00:00,151,
B33F0080,001,2011/07/01 00:00:00,151,
B33F0080,001,2011/07/02 00:00:00,150,
B33F0080,001,2011/07/03 00:00:00,151,
B33F0080,001,2011/07/04 00:00:00,152,
B33F0080,001,2011/07/05 00:00:00,153,
B33F0080,001,2011/07/06 00:00:00,153,
B33F0080,001,2011/07/07 00:00:00,154,
B33F0080,001,2011/07/08 00:00:00,156,
B33F0080,001,2011/07/09 00:00:00,157,
B33F0080,001,2011/07/10 00:00:00,159,
B33F0080,001,2011/07/11 00:00:00,160,
B33F0080,001,2011/07/12 00:00:00,161,
B33F0080,001,2011/07/13 00:00:00,155,
B33F0080,001,2011/07/14 00:00:00,149,
B33F0080,001,2011/07/15 00:00:00,131,
B33F0080,001,2011/07/16 00:00:00,132,
B33F0080,001,2011/07/17 00:00:00,124,
B33F0080,001,2011/07/18 00:00:00,127,
B33F0080,001,2011/07/19 00:00:00,130,
B33F0080,001,2011/07/20 00:00:00,132,
B33F0080,001,2011/07/21 00:00:00,133,
B33F0080,001,2011/07/22 00:00:00,135,
B33F0080,001,2011/07/23 00:00:00,136,
B33F0080,001,2011/07/24 00:00:00,135,
B33F0080,001,2011/07/25 00:00:00,131,
B33F0080,001,2011/07/26 00:00:00,132,
B33F0080,001,2011/07/27 00:00:00,132,
B33F0080,001,2011/07/28 00:00:00,133,
B33F0080,001,2011/07/29 00:00:00,130,
B33F0080,001,2011/07/30 00:00:00,131,
B33F0080,001,2011/07/31 00:00:00,132,
B33F0080,001,2011/08/01 00:00:00,133,
B33F0080,001,2011/08/02 00:00:00,135,
B33F0080,001,2011/08/03 00:00:00,136,
B33F0080,001,2011/08/04 00:00:00,130,
B33F0080,001,2011/08/05 00:00:00,128,
B33F0080,001,2011/08/06 00:00:00,129,
B33F0080,001,2011/08/07 00:00:00,130,
B33F0080,001,2011/08/08 00:00:00,129,
B33F0080,001,2011/08/09 00:00:00,114,
B33F0080,001,2011/08/10 00:00:00,118,
B33F0080,001,2011/08/11 00:00:00,120,
B33F0080,001,2011/08/12 00:00:00,122,
B33F0080,001,2011/08/13 00:00:00,113,
B33F0080,001,2011/08/14 00:00:00,112,
B33F0080,001,2011/08/15 00:00:00,97,
B33F0080,001,2011/08/16 00:00:00,105,
B33F0080,001,2011/08/17 00:00:00,110,
B33F0080,001,2011/08/18 00:00:00,114,
B33F0080,001,2011/08/19 00:00:00,111,
B33F0080,001,2011/08/20 00:00:00,113,
B33F0080,001,2011/08/21 00:00:00,116,
B33F0080,001,2011/08/22 00:00:00,120,
B33F0080,001,2011/08/23 00:00:00,119,
B33F0080,001,2011/08/24 00:00:00,101,
B33F0080,001,2011/08/25 00:00:00,104,
B33F0080,001,2011/08/26 00:00:00,108,
B33F0080,001,2011/08/27 00:00:00,103,
B33F0080,001,2011/08/28 00:00:00,106,
B33F0080,001,2011/08/29 00:00:00,100,
B33F0080,001,2011/08/30 00:00:00,104,
B33F0080,001,2011/08/31 00:00:00,104,
B33F0080,001,2011/09/01 00:00:00,108,
B33F0080,001,2011/09/02 00:00:00,110,
B33F0080,001,2011/09/03 00:00:00,113,
B33F0080,001,2011/09/04 00:00:00,116,
B33F0080,001,2011/09/05 00:00:00,117,
B33F0080,001,2011/09/06 00:00:00,118,
B33F0080,001,2011/09/07 00:00:00,94,
B33F0080,001,2011/09/08 00:00:00,98,
B33F0080,001,2011/09/09 00:00:00,100,
B33F0080,001,2011/09/10 00:00:00,103,
B33F0080,001,2011/09/11 00:00:00,106,
B33F0080,001,2011/09/12 00:00:00,109,
B33F0080,001,2011/09/13 00:00:00,112,
B33F0080,001,2011/09/14 00:00:00,115,
B33F0080,001,2011/09/15 00:00:00,117,
B33F0080,001,2011/09/16 00:00:00,118,
B33F0080,001,2011/09/17 00:00:00,119,
B33F0080,001,2011/09/18 00:00:00,120,
B33F0080,001,2011/09/19 00:00:00,121,
B33F0080,001,2011/09/20 00:00:00,123,
B33F0080,001,2011/09/21 00:00:00,123,
B33F0080,001,2011/09/22 00:00:00,125,
B33F0080,001,2011/09/23 00:00:00,126,
B33F0080,001,2011/09/24 00:00:00,127,
B33F0080,001,2011/09/25 00:00:00,129,
B33F0080,001,2011/09/26 00:00:00,130,
B33F0080,001,2011/09/27 00:00:00,132,
B33F0080,001,2011/09/28 00:00:00,132,
B33F0080,001,2011/09/29 00:00:00,133,
B33F0080,001,2011/09/30 00:00:00,134,
B33F0080,001,2011/10/01 00:00:00,136,
B33F0080,001,2011/10/02 00:00:00,136,
B33F0080,001,2011/10/03 00:00:00,137,
B33F0080,001,2011/10/04 00:00:00,138,
B33F0080,001,2011/10/05 00:00:00,138,
B33F0080,001,2011/10/06 00:00:00,137,
B33F0080,001,2011/10/07 00:00:00,137,
B33F0080,001,2011/10/08 00:00:00,131,
B33F0080,001,2011/10/09 00:00:00,127,
B33F0080,001,2011/10/10 00:00:00,123,
B33F0080,001,2011/10/11 00:00:00,124,
B33F0080,001,2011/10/12 00:00:00,115,
B33F0080,001,2011/10/13 00:00:00,109,
B33F0080,001,2011/10/14 00:00:00,114,
B33F0080,001,2011/10/15 00:00:00,117,
B33F0080,001,2011/10/16 00:00:00,120,
B33F0080,001,2011/10/17 00:00:00,121,
B33F0080,001,2011/10/18 00:00:00,120,
B33F0080,001,2011/10/19 00:00:00,122,
B33F0080,001,2011/10/20 00:00:00,123,
B33F0080,001,2011/10/21 00:00:00,123,
B33F0080,001,2011/10/22 00:00:00,124,
B33F0080,001,2011/10/23 00:00:00,125,
B33F0080,001,2011/10/24 00:00:00,126,
B33F0080,001,2011/10/25 00:00:00,127,
B33F0080,001,2011/10/26 00:00:00,129,
B33F0080,001,2011/10/27 00:00:00,129,
B33F0080,001,2011/10/28 00:00:00,131,
B33F0080,001,2011/10/29 00:00:00,131,
B33F0080,001,2011/10/30 00:00:00,132,
B33F0080,001,2011/10/31 00:00:00,132,
B33F0080,001,2011/11/01 00:00:00,132,
B33F0080,001,2011/11/02 00:00:00,133,
B33F0080,001,2011/11/03 00:00:00,131,
B33F0080,001,2011/11/04 00:00:00,132,
B33F0080,001,2011/11/05 00:00:00,134,
B33F0080,001,2011/11/06 00:00:00,136,
B33F0080,001,2011/11/07 00:00:00,136,
B33F0080,001,2011/11/08 00:00:00,136,
B33F0080,001,2011/11/09 00:00:00,137,
B33F0080,001,2011/11/10 00:00:00,137,
B33F0080,001,2011/11/11 00:00:00,138,
B33F0080,001,2011/11/12 00:00:00,139,
B33F0080,001,2011/11/13 00:00:00,140,
B33F0080,001,2011/11/14 00:00:00,139,
B33F0080,001,2011/11/15 00:00:00,139,
B33F0080,001,2011/11/16 00:00:00,140,
B33F0080,001,2011/11/17 00:00:00,140,
B33F0080,001,2011/11/18 00:00:00,140,
B33F0080,001,2011/11/19 00:00:00,140,
B33F0080,001,2011/11/20 00:00:00,141,
B33F0080,001,2011/11/21 00:00:00,141,
B33F0080,001,2011/11/22 00:00:00,141,
B33F0080,001,2011/11/23 00:00:00,142,
B33F0080,001,2011/11/24 00:00:00,142,
B33F0080,001,2011/11/25 00:00:00,141,
B33F0080,001,2011/11/26 00:00:00,143,
B33F0080,001,2011/11/27 00:00:00,140,
B33F0080,001,2011/11/28 00:00:00,143,
B33F0080,001,2011/11/29 00:00:00,141,
B33F0080,001,2011/11/30 00:00:00,144,
B33F0080,001,2011/12/01 00:00:00,140,
B33F0080,001,2011/12/02 00:00:00,134,
B33F0080,001,2011/12/03 00:00:00,132,
B33F0080,001,2011/12/04 00:00:00,130,
B33F0080,001,2011/12/05 00:00:00,129,
B33F0080,001,2011/12/06 00:00:00,128,
B33F0080,001,2011/12/07 00:00:00,120,
B33F0080,001,2011/12/08 00:00:00,120,
B33F0080,001,2011/12/09 00:00:00,115,
B33F0080,001,2011/12/10 00:00:00,117,
B33F0080,001,2011/12/11 00:00:00,118,
B33F0080,001,2011/12/12 00:00:00,118,
B33F0080,001,2011/12/13 00:00:00,115,
B33F0080,001,2011/12/14 00:00:00,112,
B33F0080,001,2011/12/15 00:00:00,102,
B33F0080,001,2011/12/16 00:00:00,98,
B33F0080,001,2011/12/17 00:00:00,95,
B33F0080,001,2011/12/18 00:00:00,100,
B33F0080,001,2011/12/19 00:00:00,104,
B33F0080,001,2011/12/20 00:00:00,104,
B33F0080,001,2011/12/21 00:00:00,105,
B33F0080,001,2011/12/22 00:00:00,106,
B33F0080,001,2011/12/23 00:00:00,103,
B33F0080,001,2011/12/24 00:00:00,102,
B33F0080,001,2011/12/25 00:00:00,102,
B33F0080,001,2011/12/26 00:00:00,106,
B33F0080,001,2011/12/27 00:00:00,108,
B33F0080,001,2011/12/28 00:00:00,108,
B33F0080,001,2011/12/29 00:00:00,111,
B33F0080,001,2011/12/30 00:00:00,108,
B33F0080,001,2011/12/31 00:00:00,108,
B33F0080,001,2012/01/01 00:00:00,106,
B33F0080,001,2012/01/02 00:00:00,93,
B33F0080,001,2012/01/03 00:00:00,98,
B33F0080,001,2012/01/04 00:00:00,93,
B33F0080,001,2012/01/05 00:00:00,82,
B33F0080,001,2012/01/06 00:00:00,85,
B33F0080,001,2012/01/07 00:00:00,89,
B33F0080,001,2012/01/08 00:00:00,92,
B33F0080,001,2012/01/09 00:00:00,96,
B33F0080,001,2012/01/10 00:00:00,100,
B33F0080,001,2012/01/11 00:00:00,102,
B33F0080,001,2012/01/12 00:00:00,102,
B33F0080,001,2012/01/13 00:00:00,104,
B33F0080,001,2012/01/14 00:00:00,106,
B33F0080,001,2012/01/15 00:00:00,108,
B33F0080,001,2012/01/16 00:00:00,110,
B33F0080,001,2012/01/17 00:00:00,112,
B33F0080,001,2012/01/18 00:00:00,113,
B33F0080,001,2012/01/19 00:00:00,110,
B33F0080,001,2012/01/20 00:00:00,100,
B33F0080,001,2012/01/21 00:00:00,98,
B33F0080,001,2012/01/22 00:00:00,98,
B33F0080,001,2012/01/23 00:00:00,99,
B33F0080,001,2012/01/24 00:00:00,95,
B33F0080,001,2012/01/25 00:00:00,98,
B33F0080,001,2012/01/26 00:00:00,101,
B33F0080,001,2012/01/27 00:00:00,103,
B33F0080,001,2012/01/28 00:00:00,106,
B33F0080,001,2012/01/29 00:00:00,108,
B33F0080,001,2012/01/30 00:00:00,109,
B33F0080,001,2012/01/31 00:00:00,112,
B33F0080,001,2012/02/01 00:00:00,115,
B33F0080,001,2012/02/02 00:00:00,117,
B33F0080,001,2012/02/03 00:00:00,119,
B33F0080,001,2012/02/04 00:00:00,123,
B33F0080,001,2012/02/05 00:00:00,121,
B33F0080,001,2012/02/06 00:00:00,123,
B33F0080,001,2012/02/07 00:00:00,126,
B33F0080,001,2012/02/08 00:00:00,125,
B33F0080,001,2012/02/09 00:00:00,126,
B33F0080,001,2012/02/10 00:00:00,128,
B33F0080,001,2012/02/11 00:00:00,129,
B33F0080,001,2012/02/12 00:00:00,129,
B33F0080,001,2012/02/13 00:00:00,129,
B33F0080,001,2012/02/14 00:00:00,129,
B33F0080,001,2012/02/15 00:00:00,127,
B33F0080,001,2012/02/16 00:00:00,129,
B33F0080,001,2012/02/17 00:00:00,127,
B33F0080,001,2012/02/18 00:00:00,126,
B33F0080,001,2012/02/19 00:00:00,122,
B33F0080,001,2012/02/20 00:00:00,124,
B33F0080,001,2012/02/21 00:00:00,123,
B33F0080,001,2012/02/22 00:00:00,123,
B33F0080,001,2012/02/23 00:00:00,122,
B33F0080,001,2012/02/24 00:00:00,123,
B33F0080,001,2012/02/25 00:00:00,123,
B33F0080,001,2012/02/26 00:00:00,124,
B33F0080,001,2012/02/27 00:00:00,125,
B33F0080,001,2012/02/28 00:00:00,125,
B33F0080,001,2012/02/29 00:00:00,126,
B33F0080,001,2012/03/01 00:00:00,126,
B33F0080,001,2012/03/02 00:00:00,127,
B33F0080,001,2012/03/03 00:00:00,127,
B33F0080,001,2012/03/04 00:00:00,127,
B33F0080,001,2012/03/05 00:00:00,124,
B33F0080,001,2012/03/06 00:00:00,127,
B33F0080,001,2012/03/07 00:00:00,127,
B33F0080,001,2012/03/08 00:00:00,126,
B33F0080,001,2012/03/09 00:00:00,127,
B33F0080,001,2012/03/10 00:00:00,127,
B33F0080,001,2012/03/11 00:00:00,128,
B33F0080,001,2012/03/12 00:00:00,128,
B33F0080,001,2012/03/13 00:00:00,129,
B33F0080,001,2012/03/14 00:00:00,130,
B33F0080,001,2012/03/15 00:00:00,130,
B33F0080,001,2012/03/16 00:00:00,130,
B33F0080,001,2012/03/17 00:00:00,131,
B33F0080,001,2012/03/18 00:00:00,131,
B33F0080,001,2012/03/19 00:00:00,134,
B33F0080,001,2012/03/20 00:00:00,134,
B33F0080,001,2012/03/21 00:00:00,135,
B33F0080,001,2012/03/22 00:00:00,134,
B33F0080,001,2012/03/23 00:00:00,134,
B33F0080,001,2012/03/24 00:00:00,135,
B33F0080,001,2012/03/25 00:00:00,136,
B33F0080,001,2012/03/26 00:00:00,137,
B33F0080,001,2012/03/27 00:00:00,137,
B33F0080,001,2012/03/28 00:00:00,137,
B33F0080,001,2012/03/29 00:00:00,136,
B33F0080,001,2012/03/30 00:00:00,137,
B33F0080,001,2012/03/31 00:00:00,137,
B33F0080,001,2012/04/01 00:00:00,138,
B33F0080,001,2012/04/02 00:00:00,138,
B33F0080,001,2012/04/03 00:00:00,138,
B33F0080,001,2012/04/04 00:00:00,139,
B33F0080,001,2012/04/05 00:00:00,140,
B33F0080,001,2012/04/06 00:00:00,139,
B33F0080,001,2012/04/07 00:00:00,139,
B33F0080,001,2012/04/08 00:00:00,141,
B33F0080,001,2012/04/09 00:00:00,138,
B33F0080,001,2012/04/10 00:00:00,136,
B33F0080,001,2012/04/11 00:00:00,133,
B33F0080,001,2012/04/12 00:00:00,134,
B33F0080,001,2012/04/13 00:00:00,134,
B33F0080,001,2012/04/14 00:00:00,134,
B33F0080,001,2012/04/15 00:00:00,136,
B33F0080,001,2012/04/16 00:00:00,137,
B33F0080,001,2012/04/17 00:00:00,135,
B33F0080,001,2012/04/18 00:00:00,135,
B33F0080,001,2012/04/19 00:00:00,134,
B33F0080,001,2012/04/20 00:00:00,136,
B33F0080,001,2012/04/21 00:00:00,136,
B33F0080,001,2012/04/22 00:00:00,137,
B33F0080,001,2012/04/23 00:00:00,136,
B33F0080,001,2012/04/24 00:00:00,136,
B33F0080,001,2012/04/25 00:00:00,137,
B33F0080,001,2012/04/26 00:00:00,137,
B33F0080,001,2012/04/27 00:00:00,139,
B33F0080,001,2012/04/28 00:00:00,137,
B33F0080,001,2012/04/29 00:00:00,135,
B33F0080,001,2012/04/30 00:00:00,138,
B33F0080,001,2012/05/01 00:00:00,139,
B33F0080,001,2012/05/02 00:00:00,139,
B33F0080,001,2012/05/03 00:00:00,139,
B33F0080,001,2012/05/04 00:00:00,139,
B33F0080,001,2012/05/05 00:00:00,140,
B33F0080,001,2012/05/06 00:00:00,141,
B33F0080,001,2012/05/07 00:00:00,142,
B33F0080,001,2012/05/08 00:00:00,141,
B33F0080,001,2012/05/09 00:00:00,141,
B33F0080,001,2012/05/10 00:00:00,135,
B33F0080,001,2012/05/11 00:00:00,124,
B33F0080,001,2012/05/12 00:00:00,128,
B33F0080,001,2012/05/13 00:00:00,129,
B33F0080,001,2012/05/14 00:00:00,129,
B33F0080,001,2012/05/15 00:00:00,131,
B33F0080,001,2012/05/16 00:00:00,132,
B33F0080,001,2012/05/17 00:00:00,131,
B33F0080,001,2012/05/18 00:00:00,131,
